word,in_doc,TF,IDF,TF.IDF
excellence,yale.txt,0.0,2.6666666666666665,0.0
exchange,yale.txt,0.017857142857142856,8.0,0.14285714285714285
experiential,yale.txt,0.0,8.0,0.0
extending,yale.txt,0.0,8.0,0.0
faculty,yale.txt,0.017857142857142856,8.0,0.14285714285714285
financial,yale.txt,0.0,8.0,0.0
flexible,yale.txt,0.0,8.0,0.0
focused,yale.txt,0.0,8.0,0.0
for,yale.txt,0.017857142857142856,2.0,0.03571428571428571
fosters,yale.txt,0.0,8.0,0.0
free,yale.txt,0.017857142857142856,8.0,0.14285714285714285
from,yale.txt,0.0,8.0,0.0
future,yale.txt,0.017857142857142856,8.0,0.14285714285714285
generate,yale.txt,0.0,8.0,0.0
generations,yale.txt,0.017857142857142856,8.0,0.14285714285714285
georgia,yale.txt,0.0,8.0,0.0
global,yale.txt,0.0,8.0,0.0
globally,yale.txt,0.0,8.0,0.0
goals,yale.txt,0.0,8.0,0.0
grant,yale.txt,0.0,8.0,0.0
growth,yale.txt,0.0,8.0,0.0
harvard,yale.txt,0.0,8.0,0.0
health,yale.txt,0.0,8.0,0.0
human,yale.txt,0.0,8.0,0.0
ideas,yale.txt,0.017857142857142856,8.0,0.14285714285714285
impact,yale.txt,0.0,4.0,0.0
improve,yale.txt,0.0,8.0,0.0
improving,yale.txt,0.017857142857142856,8.0,0.14285714285714285
in,yale.txt,0.017857142857142856,1.6,0.02857142857142857
inclusion,yale.txt,0.0,8.0,0.0
inclusive,yale.txt,0.0,8.0,0.0
innovation,yale.txt,0.0,8.0,0.0
innovations,yale.txt,0.0,8.0,0.0
inspire,yale.txt,0.0,8.0,0.0
institution,yale.txt,0.0,4.0,0.0
intellectual,yale.txt,0.0,8.0,0.0
interdependent,yale.txt,0.017857142857142856,8.0,0.14285714285714285
is,yale.txt,0.017857142857142856,1.6,0.02857142857142857
its,yale.txt,0.0,8.0,0.0
knowledge,yale.txt,0.0,8.0,0.0
land,yale.txt,0.0,8.0,0.0
leaders,yale.txt,0.017857142857142856,2.0,0.03571428571428571
leading,yale.txt,0.0,8.0,0.0
learning,yale.txt,0.0,8.0,0.0
liberal,yale.txt,0.0,8.0,0.0
life,yale.txt,0.0,8.0,0.0
lives,yale.txt,0.0,4.0,0.0
local,yale.txt,0.0,8.0,0.0
locally,yale.txt,0.0,8.0,0.0
long,yale.txt,0.0,8.0,0.0
making,yale.txt,0.0,8.0,0.0
mission,yale.txt,0.017857142857142856,2.6666666666666665,0.047619047619047616
nationally,yale.txt,0.0,8.0,0.0
new,yale.txt,0.0,8.0,0.0
of,yale.txt,0.05357142857142857,1.6,0.08571428571428572
on,yale.txt,0.0,8.0,0.0
opportunities,yale.txt,0.0,8.0,0.0
our,yale.txt,0.0,4.0,0.0
out,yale.txt,0.017857142857142856,8.0,0.14285714285714285
outstanding,yale.txt,0.017857142857142856,8.0,0.14285714285714285
oxford’s,yale.txt,0.0,8.0,0.0
people,yale.txt,0.0,4.0,0.0
personal,yale.txt,0.0,8.0,0.0
physical,yale.txt,0.0,8.0,0.0
plan,yale.txt,0.0,8.0,0.0
positive,yale.txt,0.0,8.0,0.0
power,yale.txt,0.0,8.0,0.0
practice,yale.txt,0.017857142857142856,8.0,0.14285714285714285
premier,yale.txt,0.0,8.0,0.0
preparing,yale.txt,0.0,8.0,0.0
preservation,yale.txt,0.017857142857142856,8.0,0.14285714285714285
professional,yale.txt,0.0,8.0,0.0
promote,yale.txt,0.0,8.0,0.0
quality,yale.txt,0.0,8.0,0.0
research,yale.txt,0.017857142857142856,4.0,0.07142857142857142
resources,yale.txt,0.0,4.0,0.0
responsibility,yale.txt,0.0,8.0,0.0
responsible,yale.txt,0.0,8.0,0.0
scholarship,yale.txt,0.017857142857142856,8.0,0.14285714285714285
sciences,yale.txt,0.0,8.0,0.0
sectors,yale.txt,0.017857142857142856,8.0,0.14285714285714285
serve,yale.txt,0.017857142857142856,8.0,0.14285714285714285
share,yale.txt,0.0,8.0,0.0
snow,yale.txt,0.0,8.0,0.0
society,yale.txt,0.017857142857142856,4.0,0.07142857142857142
southern,yale.txt,0.0,8.0,0.0
space,yale.txt,0.0,8.0,0.0
staff,yale.txt,0.017857142857142856,8.0,0.14285714285714285
state,yale.txt,0.0,8.0,0.0
stewardship,yale.txt,0.0,8.0,0.0
strategic,yale.txt,0.0,8.0,0.0
student,yale.txt,0.0,8.0,0.0
students,yale.txt,0.017857142857142856,2.0,0.03571428571428571
study,yale.txt,0.0,8.0,0.0
success,yale.txt,0.0,8.0,0.0
teaching,yale.txt,0.0,4.0,0.0
technology,yale.txt,0.0,8.0,0.0
tech’s,yale.txt,0.0,8.0,0.0
term,yale.txt,0.0,8.0,0.0
that,yale.txt,0.0,8.0,0.0
the,yale.txt,0.03571428571428571,1.6,0.05714285714285714
their,yale.txt,0.0,8.0,0.0
these,yale.txt,0.0,8.0,0.0
this,yale.txt,0.017857142857142856,4.0,0.07142857142857142
through,yale.txt,0.03571428571428571,2.6666666666666665,0.09523809523809523
to,yale.txt,0.017857142857142856,1.0,0.017857142857142856
today,yale.txt,0.017857142857142856,8.0,0.14285714285714285
tradition,yale.txt,0.0,8.0,0.0
transformative,yale.txt,0.0,8.0,0.0
university,yale.txt,0.0,2.6666666666666665,0.0
utah,yale.txt,0.0,2.6666666666666665,0.0
viability,yale.txt,0.0,8.0,0.0
we,yale.txt,0.017857142857142856,2.0,0.03571428571428571
who,yale.txt,0.017857142857142856,4.0,0.07142857142857142
world,yale.txt,0.017857142857142856,4.0,0.07142857142857142
worldwide,yale.txt,0.017857142857142856,8.0,0.14285714285714285
yale,yale.txt,0.03571428571428571,8.0,0.2857142857142857
